clir_name,admin_link,website_url,artwork_count,has_bio_on_website,bio_in_database,bio_length,match_type
"Jay Daley","https://sj-atlas-d1y8.vercel.app/admin/artists/71832d80-1de6-4945-8a56-0e6331ba8cbd","https://www.creativegrowth.org/artist/jay-daley",1,true,true,782,"exact_slug"
"Maureen Clay","https://sj-atlas-d1y8.vercel.app/admin/artists/22963f7d-499a-45f7-bd1f-de8bc60f17e6","https://www.creativegrowth.org/artist/maureen-clay",1,true,true,1251,"exact_slug"
"Casey Byrnes","https://sj-atlas-d1y8.vercel.app/admin/artists/0fb10e12-c092-4d58-a7ac-a6dfaf8f30c2","https://www.creativegrowth.org/artist/casey-byrnes",1,true,true,4555,"exact_slug"
"Nicole Storm","https://sj-atlas-d1y8.vercel.app/admin/artists/7b0cf380-c314-4ea2-ac41-d5e1883d4f64","https://www.creativegrowth.org/artist/nicole-storm",1,true,true,3662,"exact_slug"
"Juan Aguilera","https://sj-atlas-d1y8.vercel.app/admin/artists/34128b68-f6cf-4200-8ae5-3aa788ffa63c","https://www.creativegrowth.org/artist/juan-aguilera",1,true,true,1632,"exact_slug"
"Kristian Cheek","https://sj-atlas-d1y8.vercel.app/admin/artists/758a84cf-2cec-4d7c-bf9c-8434a5536af3","https://www.creativegrowth.org/artist/kristian-cheek",1,true,true,249,"exact_slug"
"Nancy Weigen","https://sj-atlas-d1y8.vercel.app/admin/artists/59a1d37a-f975-434c-9615-8887b87e620f","https://www.creativegrowth.org/artist/nancy-weigen",1,false,false,0,"exact_slug"
"Camille Holvoet?","https://sj-atlas-d1y8.vercel.app/admin/artists/7252f109-d650-4812-b438-0f55c5f8df29","",1,false,false,0,"clir_only"
"George Pames","https://sj-atlas-d1y8.vercel.app/admin/artists/02fcee76-269d-45a4-9d65-3073f6ee655f","",1,false,false,0,"clir_only"
"Gina Richardson","https://sj-atlas-d1y8.vercel.app/admin/artists/5b49826a-6373-4710-9013-eadfaec3c92d","",1,false,false,0,"clir_only"
"Kathleen Flannegau","https://sj-atlas-d1y8.vercel.app/admin/artists/07a07ae1-4cc9-462a-b1d8-299fe39f0a18","",1,false,false,0,"clir_only"
"Mary Argen","https://sj-atlas-d1y8.vercel.app/admin/artists/8284f78e-46b4-45f7-a6a5-bf6a7052e7ba","",1,false,false,0,"clir_only"
"Murlin Antoine","https://sj-atlas-d1y8.vercel.app/admin/artists/377b2506-c38b-4338-b7ea-8ed0c5241a9d","",1,false,false,0,"clir_only"
"Rick Turner","https://sj-atlas-d1y8.vercel.app/admin/artists/8808206d-0a17-4294-97de-fc677ffd6c1e","",1,false,false,0,"clir_only"
"xzcxzcxzxcz'","https://sj-atlas-d1y8.vercel.app/admin/artists/5e3118c0-d914-4eb2-8caf-7f9fcdec73c0","",1,false,false,0,"clir_only"
"Zelma Riley","https://sj-atlas-d1y8.vercel.app/admin/artists/28062963-c5c0-40d8-9f97-30f18a3036e3","",1,false,false,0,"clir_only"
"","","https://www.creativegrowth.org/artist/cedric-johnson",0,true,false,1543,"no_match"
"Gail Lewis","https://sj-atlas-d1y8.vercel.app/admin/artists/b7ddfebd-d61b-4fa6-b4d1-ee3ef23d0f4d","https://www.creativegrowth.org/artist/gail-lewis",0,true,true,1167,"exact_slug"
"Donald Mitchell","https://sj-atlas-d1y8.vercel.app/admin/artists/cac58983-217d-40e7-9ac7-0ab642b9e49c","https://www.creativegrowth.org/artist/donald-mitchell",0,true,true,1415,"exact_slug"
"","","https://www.creativegrowth.org/artist/jessica-rodriguez",0,true,false,318,"no_match"
"","","https://www.creativegrowth.org/artist/susan-janow",0,true,false,1652,"no_match"
"","","https://www.creativegrowth.org/artist/lulu-sotelo",0,true,false,1792,"no_match"
"","","https://www.creativegrowth.org/artist/tony-pedemonte",0,true,false,1868,"no_match"
"Ron Veasey","https://sj-atlas-d1y8.vercel.app/admin/artists/ece9c54f-e2d7-4528-a9ea-86b00b553a98","https://www.creativegrowth.org/artist/ron-veasey",0,true,true,2987,"exact_slug"
"","","https://www.creativegrowth.org/artist/daniel-gardiner",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/dinah-shapiro",0,true,false,3731,"no_match"
"","","https://www.creativegrowth.org/artist/peter-salsman",0,true,false,1470,"no_match"
"","","https://www.creativegrowth.org/artist/alice-wong",0,true,false,1649,"no_match"
"Latefa Noorzai","https://sj-atlas-d1y8.vercel.app/admin/artists/cbab55e5-c359-4245-afa9-8042cfa7ffd5","https://www.creativegrowth.org/artist/latefa-noorzai",0,true,true,1680,"exact_slug"
"","","https://www.creativegrowth.org/artist/rosa-giron",0,true,false,624,"no_match"
"","","https://www.creativegrowth.org/artist/paul-fields",0,true,false,973,"no_match"
"","","https://www.creativegrowth.org/artist/natascha-haehlen",0,true,false,1572,"no_match"
"William Tyler","https://sj-atlas-d1y8.vercel.app/admin/artists/b37612a4-05c7-4250-91e8-bd49d8d27766","https://www.creativegrowth.org/artist/william-tyler",0,true,true,2110,"exact_slug"
"","","https://www.creativegrowth.org/artist/zina-hall",0,true,false,2491,"no_match"
"","","https://www.creativegrowth.org/artist/ray-vickers",0,true,false,2130,"no_match"
"John Martin","https://sj-atlas-d1y8.vercel.app/admin/artists/c830f21f-ff22-479f-a7a6-422c7dda2928","https://www.creativegrowth.org/artist/john-martin",0,true,true,2133,"exact_slug"
"","","https://www.creativegrowth.org/artist/jack-lahaderne",0,true,false,242,"no_match"
"","","https://www.creativegrowth.org/artist/barry-regan",0,true,false,1666,"no_match"
"David Albertsen","https://sj-atlas-d1y8.vercel.app/admin/artists/ff892fa6-bff7-4f26-8496-9719e5c28e16","https://www.creativegrowth.org/artist/david-albertsen",0,false,false,0,"exact_slug"
"Gerone Spruill","https://sj-atlas-d1y8.vercel.app/admin/artists/bd09cf51-fb68-4c7b-b335-95792770d97d","https://www.creativegrowth.org/artist/gerone-spruill",0,true,true,149,"exact_slug"
"","","https://www.creativegrowth.org/artist/kim-clark",0,true,false,264,"no_match"
"","","https://www.creativegrowth.org/artist/jorge-gomez",0,true,false,1262,"no_match"
"Dan Hamilton","https://sj-atlas-d1y8.vercel.app/admin/artists/b1b4e2b1-bfab-45df-8c8c-f5044e8f6bbc","https://www.creativegrowth.org/artist/dan-hamilton",0,true,true,1692,"exact_slug"
"","","https://www.creativegrowth.org/artist/sherry-stanley",0,true,false,292,"no_match"
"","","https://www.creativegrowth.org/artist/dlisa-fort",0,true,false,540,"no_match"
"Dwight Mackintosh","https://sj-atlas-d1y8.vercel.app/admin/artists/e848f7ab-c4f2-4a70-88b1-47663a9f47d6","https://www.creativegrowth.org/artist/dwight-mackintosh",0,true,true,3855,"exact_slug"
"","","https://www.creativegrowth.org/artist/allan-lofberg",0,true,false,1372,"no_match"
"","","https://www.creativegrowth.org/artist/jason-jackson",0,true,false,48,"no_match"
